employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
44037,8,1,2,1,1,1,33,5.0,7,1,0,74,1
46347,4,3,1,1,0,1,33,3.0,7,1,0,86,1
7105,5,26,1,0,0,1,31,4.0,3,1,0,71,0
46765,8,2,1,1,2,1,26,1.0,5,1,0,79,1
27585,8,31,1,0,1,1,27,,1,0,0,78,0
39266,5,7,2,1,1,1,40,4.0,3,1,0,68,0
54740,5,2,2,0,0,1,36,3.0,8,1,0,67,1
47140,8,22,1,0,0,1,28,1.0,2,1,0,90,1
40767,4,8,1,1,0,2,26,5.0,4,1,0,53,0
41489,0,2,1,1,1,2,57,5.0,6,1,0,88,1
55242,4,23,1,1,1,2,38,3.0,7,1,0,61,0
76411,0,7,1,1,1,2,27,3.0,2,0,0,85,0
26684,5,2,1,1,0,2,41,3.0,3,0,0,72,0
56140,8,13,1,0,0,1,33,3.0,4,1,0,76,1
68151,8,22,1,0,0,2,34,5.0,9,0,0,84,1
18079,7,10,2,1,1,1,42,4.0,13,0,0,52,0
27287,6,22,1,1,0,1,32,4.0,6,1,0,81,0
52187,0,2,1,1,0,1,50,5.0,7,0,0,87,0
48982,0,32,1,1,0,2,27,,1,0,0,81,0
19741,7,26,1,1,0,1,26,3.0,3,0,0,66,1
16149,0,22,1,1,0,1,34,3.0,3,0,0,89,1
57117,5,7,1,1,1,1,37,5.0,7,1,0,74,1
70080,5,2,2,0,0,1,34,5.0,8,1,0,69,1
38729,5,25,2,1,1,1,36,4.0,7,1,0,72,0
29701,4,22,1,1,0,3,29,4.0,4,1,0,57,0
56425,4,26,2,1,1,1,48,5.0,6,1,0,62,0
19021,7,26,1,1,0,1,42,3.0,3,0,0,48,0
67446,7,2,1,1,0,1,48,3.0,7,1,0,50,1
67065,7,26,2,1,0,1,32,4.0,7,0,0,51,0
56043,8,2,1,1,1,2,42,3.0,10,1,0,82,1
50978,1,10,2,1,0,2,32,5.0,3,0,0,58,0
39097,7,28,1,1,0,1,35,5.0,7,1,0,50,0
41601,8,6,1,0,0,1,25,3.0,3,0,0,83,0
57539,8,6,1,1,0,1,32,3.0,7,1,0,78,0
30058,7,26,1,1,0,1,30,,1,1,0,52,1
17941,0,2,2,1,1,1,41,5.0,5,0,1,89,1
42542,6,22,2,1,0,3,30,5.0,2,0,0,85,0
68366,4,11,2,1,1,1,39,2.0,3,1,0,59,1
212,0,2,1,0,1,1,32,1.0,5,0,0,87,0
39820,7,25,2,1,0,1,33,5.0,4,0,0,91,1
4556,8,16,1,0,1,1,28,,1,1,0,80,1
78106,4,15,1,0,0,1,35,5.0,4,0,0,74,1
45478,7,4,1,1,0,1,31,3.0,2,0,1,51,0
35344,7,1,1,0,0,1,27,1.0,4,0,0,50,0
30442,7,13,1,1,0,1,22,,1,1,0,51,1
74287,8,27,1,0,1,1,28,,1,0,0,80,0
66411,5,11,2,0,0,1,39,5.0,3,1,0,72,1
70544,8,2,1,0,0,1,24,,1,1,0,81,1
20532,7,2,1,1,1,2,33,2.0,4,1,0,50,1
40266,7,11,1,1,1,1,29,2.0,6,1,0,51,1
2702,7,22,1,1,0,1,34,5.0,7,0,1,68,1
71213,4,29,1,1,1,1,26,3.0,3,0,0,60,0
28464,4,32,1,1,1,1,26,5.0,3,1,0,59,0
41747,4,23,2,1,0,1,38,3.0,9,1,0,57,1
6193,4,7,2,1,1,1,43,5.0,7,1,0,60,0
14081,3,11,1,1,0,1,33,1.0,5,0,0,56,0
39174,8,7,1,1,0,1,30,5.0,4,0,0,78,0
45879,5,7,2,1,1,1,40,3.0,6,1,0,68,1
14337,4,7,1,1,1,1,30,5.0,7,0,0,70,1
65246,8,16,1,0,0,1,29,4.0,1,1,0,78,1
77648,4,22,2,1,1,2,32,4.0,5,0,0,76,1
30174,7,1,1,1,0,1,29,3.0,6,0,0,64,1
8853,7,25,1,1,1,2,31,5.0,4,1,0,46,0
8278,5,13,1,0,1,1,30,4.0,2,1,0,86,1
15915,0,32,1,1,1,2,33,5.0,5,1,0,84,0
53344,8,22,1,1,1,1,26,1.0,2,0,0,93,1
23118,8,31,1,0,0,1,36,3.0,4,0,0,78,0
75076,5,8,1,1,1,1,30,5.0,5,1,0,72,1
61110,0,4,2,1,0,1,43,3.0,14,0,0,85,0
46918,7,2,1,1,1,1,22,,1,0,0,49,0
65298,7,7,1,1,1,1,54,3.0,12,0,0,52,0
27505,4,8,1,1,1,1,26,5.0,2,1,0,59,0
442,7,7,2,1,0,1,42,5.0,16,0,1,98,1
63806,4,22,1,0,1,1,48,5.0,3,1,0,63,1
42915,5,7,1,1,0,1,33,3.0,3,1,0,66,1
51322,7,15,1,1,1,1,33,5.0,3,0,0,62,1
77800,7,29,1,1,1,1,35,3.0,10,0,0,49,0
54847,7,23,2,1,1,1,40,5.0,5,1,1,96,1
70642,7,28,1,1,1,1,40,5.0,2,0,0,62,1
2477,7,7,2,0,0,1,35,2.0,5,1,0,53,1
75174,7,2,1,1,1,1,24,3.0,2,1,1,88,1
21985,8,2,2,0,1,1,35,5.0,6,1,0,81,1
9333,4,13,1,1,0,3,37,5.0,8,0,0,68,1
23439,8,24,1,1,1,1,31,1.0,7,0,0,84,0
55932,1,2,1,0,0,1,28,4.0,1,1,0,62,1
4593,2,22,2,0,1,1,32,3.0,5,0,0,48,0
8099,8,11,1,0,0,1,29,3.0,3,1,0,81,1
51712,7,2,1,1,0,5,34,5.0,10,1,0,49,1
55974,4,19,2,0,1,1,42,3.0,8,0,0,59,0
65684,7,7,1,1,0,1,33,3.0,5,1,0,52,1
3706,7,4,1,1,1,1,33,3.0,4,0,1,62,1
77413,5,26,2,0,0,1,37,4.0,4,1,0,78,1
1101,5,4,1,0,0,1,33,3.0,3,0,0,69,0
29116,5,33,1,1,0,1,30,5.0,7,0,0,78,1
24968,7,4,1,1,0,1,43,5.0,11,1,0,51,1
42017,5,17,1,1,1,1,39,5.0,10,1,1,86,1
65745,4,15,2,1,1,1,42,5.0,7,1,0,55,0
51227,7,19,1,1,0,2,33,4.0,8,1,0,50,1
18398,6,2,2,1,0,1,42,5.0,5,0,0,81,1
15176,5,7,1,1,0,1,29,5.0,3,1,0,66,1
19597,7,27,1,0,0,1,32,4.0,5,0,0,50,0
18355,7,2,1,0,0,2,34,1.0,10,0,0,54,0
14502,8,7,2,1,0,1,54,4.0,7,0,0,81,1
9832,7,2,2,1,0,1,52,5.0,9,1,0,52,1
32247,7,2,1,0,1,1,38,3.0,9,0,0,65,1
14648,7,14,1,0,1,1,28,,1,0,0,51,0
20089,7,25,1,1,1,1,30,3.0,5,0,0,51,0
10230,7,19,1,1,1,1,38,2.0,11,0,0,51,0
10477,7,2,1,1,0,2,27,1.0,2,0,0,49,0
20603,3,7,1,1,1,1,35,5.0,3,1,0,58,1
42885,4,22,1,1,0,1,40,2.0,10,0,0,61,0
